config_id	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	renorm_imputed	p_bio_temp	p_bio_bias	thr_drop	p_bio_nz_scale	post_log_quantile	cell_scale_alpha	sf_dropout_alpha	proxy_calib_shrink	proxy_bio_weight	proxy_drop_weight	proxy_impute_alpha	proxy_impute_gamma	proxy_mean_mode	proxy_calib_min_points	proxy_pu_weight	bio_soft_gamma	proxy_calib_mode	impute_mode	impute_blend_alpha	avg_mse	avg_bz_mse	score
118	0.0	0.0	False	False	1.5	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.0	0.7445542497816416	0.14066743785695102	0.5129445627477718
119	0.0	0.0	False	False	1.5	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.5	0.7445542497816416	0.14066743785695102	0.5129445627477718
120	0.0	0.0	False	False	1.5	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	1.0	0.7445542497816416	0.14066743785695102	0.5129445627477718
106	0.0	0.0	False	False	1.5	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.790068684719446	0.11815318385375433	0.5131875262134773
107	0.0	0.0	False	False	1.5	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.790068684719446	0.11815318385375433	0.5131875262134773
108	0.0	0.0	False	False	1.5	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.790068684719446	0.11815318385375433	0.5131875262134773
94	0.0	0.0	False	False	1.5	-0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.6575402456037898	0.18479294092368387	0.5135630637255788
95	0.0	0.0	False	False	1.5	-0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.6575402456037898	0.18479294092368387	0.5135630637255788
96	0.0	0.0	False	False	1.5	-0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.6575402456037898	0.18479294092368387	0.5135630637255788
184	0.0	0.0	False	False	1.8	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.6645827782625294	0.18132218399404476	0.5136135731253095
185	0.0	0.0	False	False	1.8	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.6645827782625294	0.18132218399404476	0.5136135731253095
186	0.0	0.0	False	False	1.8	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.6645827782625294	0.18132218399404476	0.5136135731253095
16	0.0	0.0	False	False	1.2	-0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.8034330448071121	0.11211236491272362	0.5138288873162796
17	0.0	0.0	False	False	1.2	-0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.8034330448071121	0.11211236491272362	0.5138288873162796
18	0.0	0.0	False	False	1.2	-0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.8034330448071121	0.11211236491272362	0.5138288873162796
103	0.0	0.0	False	False	1.5	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.788403276285857	0.12028394396965582	0.5144855821125843
104	0.0	0.0	False	False	1.5	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.788403276285857	0.12028394396965582	0.5144855821125843
105	0.0	0.0	False	False	1.5	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.788403276285857	0.12028394396965582	0.5144855821125843
220	0.0	0.0	False	False	1.8	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.616459426275967	0.20654249278615383	0.5147722059241373
221	0.0	0.0	False	False	1.8	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.616459426275967	0.20654249278615383	0.5147722059241373
222	0.0	0.0	False	False	1.8	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.616459426275967	0.20654249278615383	0.5147722059241373
28	0.0	0.0	False	False	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.0	0.743707988857678	0.14325325675849412	0.5151072511873331
29	0.0	0.0	False	False	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.5	0.743707988857678	0.14325325675849412	0.5151072511873331
30	0.0	0.0	False	False	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	1.0	0.743707988857678	0.14325325675849412	0.5151072511873331
202	0.0	0.0	False	False	1.8	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.6389134271537772	0.1957444034493833	0.5152011170262719
203	0.0	0.0	False	False	1.8	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.6389134271537772	0.1957444034493833	0.5152011170262719
204	0.0	0.0	False	False	1.8	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.6389134271537772	0.1957444034493833	0.5152011170262719
181	0.0	0.0	False	False	1.8	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.0	0.663369136895877	0.18406396104710115	0.5157485294950397
