config_id	p_bio_temp	p_bio_bias	thr_drop	proxy_drop_weight	proxy_impute_alpha	bio_soft_gamma	post_log_quantile	avg_mse	avg_bz_mse	score
74	3.0	1.0	0.998	0.0	0.3	6.0	0.01	1.1164075136184692	0.0520944818854332	0.6102982386946678
78	3.0	1.0	0.998	0.0	0.3	8.0	0.02	1.1167303025722504	0.05194825027137995	0.6103134015575051
75	3.0	1.0	0.998	0.0	0.3	6.0	0.02	1.116456389427185	0.052088718861341476	0.610316913574934
130	3.0	1.0	0.999	0.3	0.5	8.0	0.0	1.1391266882419586	0.04956430848687887	0.6191276526078582
127	3.0	1.0	0.999	0.3	0.5	6.0	0.0	1.1390421390533447	0.04963284358382225	0.6191539131104946
34	2.5	1.0	0.998	0.6	0.5	8.0	0.0	1.1484367102384567	0.04837109241634607	0.6225894475355744
31	2.5	1.0	0.998	0.6	0.5	6.0	0.0	1.148240476846695	0.04851848119869828	0.6226387196220458
131	3.0	1.0	0.999	0.3	0.5	8.0	0.01	1.1483231037855148	0.04956430848687887	0.6237258603796363
132	3.0	1.0	0.999	0.3	0.5	8.0	0.02	1.1483231037855148	0.04956430848687887	0.6237258603796363
128	3.0	1.0	0.999	0.3	0.5	6.0	0.01	1.1482384651899338	0.04963284358382225	0.6237520761787891
129	3.0	1.0	0.999	0.3	0.5	6.0	0.02	1.1482384651899338	0.04963284358382225	0.6237520761787891
35	2.5	1.0	0.998	0.6	0.5	8.0	0.01	1.1576331406831741	0.04837109241634607	0.6271876627579331
36	2.5	1.0	0.998	0.6	0.5	8.0	0.02	1.1576331406831741	0.04837109241634607	0.6271876627579331
32	2.5	1.0	0.998	0.6	0.5	6.0	0.01	1.1574368476867676	0.04851848119869828	0.6272369050420821
33	2.5	1.0	0.998	0.6	0.5	6.0	0.02	1.1574368476867676	0.04851848119869828	0.6272369050420821
121	3.0	1.0	0.999	0.3	0.3	6.0	0.0	1.172901302576065	0.043343210592865944	0.6297938618808985
124	3.0	1.0	0.999	0.3	0.3	8.0	0.0	1.1730176955461502	0.04328536055982113	0.6297942083328962
25	2.5	1.0	0.998	0.6	0.3	6.0	0.0	1.181762769818306	0.04240674152970314	0.6332881264388561
28	2.5	1.0	0.998	0.6	0.3	8.0	0.0	1.1820317059755325	0.04228196293115616	0.6332978159189224
122	3.0	1.0	0.999	0.3	0.3	6.0	0.01	1.1833519041538239	0.043295569717884064	0.634971521794796
125	3.0	1.0	0.999	0.3	0.3	8.0	0.01	1.18347530066967	0.04323780024424195	0.634975450579077
123	3.0	1.0	0.999	0.3	0.3	6.0	0.02	1.1833806335926056	0.04328980576246977	0.6349801225587726
126	3.0	1.0	0.999	0.3	0.3	8.0	0.02	1.183510348200798	0.04323203722015023	0.6349872113205492
26	2.5	1.0	0.998	0.6	0.3	6.0	0.01	1.1922449171543121	0.04235948156565428	0.6384819401428103
27	2.5	1.0	0.998	0.6	0.3	6.0	0.02	1.1922772228717804	0.04235372692346573	0.6384923383593559
29	2.5	1.0	0.998	0.6	0.3	8.0	0.01	1.1925249546766281	0.04223488084971905	0.6384973581880331
30	2.5	1.0	0.998	0.6	0.3	8.0	0.02	1.1925551146268845	0.042229131795465946	0.6385066891089082
118	3.0	1.0	0.999	0.0	0.5	8.0	0.0	1.2011680752038956	0.041293634567409754	0.6418776721693575
115	3.0	1.0	0.999	0.0	0.5	6.0	0.0	1.2010876536369324	0.04135071253404021	0.6418945393525064
119	3.0	1.0	0.999	0.0	0.5	8.0	0.01	1.2103608846664429	0.041293634567409754	0.6464740769006312
120	3.0	1.0	0.999	0.0	0.5	8.0	0.02	1.2103608846664429	0.041293634567409754	0.6464740769006312
116	3.0	1.0	0.999	0.0	0.5	6.0	0.01	1.2102805525064468	0.04135071253404021	0.6464909887872636
117	3.0	1.0	0.999	0.0	0.5	6.0	0.02	1.2102805525064468	0.04135071253404021	0.6464909887872636
109	3.0	1.0	0.999	0.0	0.3	6.0	0.0	1.2310914993286133	0.03648767899721861	0.6520334286615252
112	3.0	1.0	0.999	0.0	0.3	8.0	0.0	1.2312037497758865	0.03643884090706706	0.6520407157950103
110	3.0	1.0	0.999	0.0	0.3	6.0	0.01	1.241367220878601	0.03644623514264822	0.6571298455819488
111	3.0	1.0	0.999	0.0	0.3	6.0	0.02	1.2413972616195679	0.03644047258421779	0.6571391033940017
113	3.0	1.0	0.999	0.0	0.3	8.0	0.01	1.241483449935913	0.036397477611899376	0.6571392025798559
114	3.0	1.0	0.999	0.0	0.3	8.0	0.02	1.2415172755718231	0.036391717847436666	0.6571503556333482
22	2.5	1.0	0.998	0.3	0.5	8.0	0.0	1.2663825005292892	0.03438840666785836	0.667579656932503
19	2.5	1.0	0.998	0.3	0.5	6.0	0.0	1.2662041932344437	0.034494344145059586	0.6675964407622814
23	2.5	1.0	0.998	0.3	0.5	8.0	0.01	1.2755742073059082	0.03438840666785836	0.6721755103208125
24	2.5	1.0	0.998	0.3	0.5	8.0	0.02	1.2755742073059082	0.03438840666785836	0.6721755103208125
20	2.5	1.0	0.998	0.3	0.5	6.0	0.01	1.2753962129354477	0.034494344145059586	0.6721924506127834
21	2.5	1.0	0.998	0.3	0.5	6.0	0.02	1.2753962129354477	0.034494344145059586	0.6721924506127834
13	2.5	1.0	0.998	0.3	0.3	6.0	0.0	1.2928009778261185	0.03069570241495967	0.6770961913280189
16	2.5	1.0	0.998	0.3	0.3	8.0	0.0	1.2930497527122498	0.03060405934229493	0.6771289356984198
70	2.5	1.0	0.999	0.6	0.5	8.0	0.0	1.296863168478012	0.03182339761406183	0.6802549818530679
67	2.5	1.0	0.999	0.6	0.5	6.0	0.0	1.2967789024114609	0.03187257330864668	0.6802620245143771
14	2.5	1.0	0.998	0.3	0.3	6.0	0.01	1.302895948290825	0.030663255602121353	0.6821112297475338
15	2.5	1.0	0.998	0.3	0.3	6.0	0.02	1.3029262572526932	0.03065751399844885	0.6821206426247954
17	2.5	1.0	0.998	0.3	0.3	8.0	0.01	1.303160771727562	0.03056603390723467	0.6821464197710156
18	2.5	1.0	0.998	0.3	0.3	8.0	0.02	1.3031928986310959	0.03056603390723467	0.6821624832227826
71	2.5	1.0	0.999	0.6	0.5	8.0	0.01	1.3060548603534698	0.03182339761406183	0.6848508277907968
72	2.5	1.0	0.999	0.6	0.5	8.0	0.02	1.3060548603534698	0.03182339761406183	0.6848508277907968
68	2.5	1.0	0.999	0.6	0.5	6.0	0.01	1.3059705048799515	0.03187257330864668	0.6848578257486224
69	2.5	1.0	0.999	0.6	0.5	6.0	0.02	1.3059705048799515	0.03187257330864668	0.6848578257486224
61	2.5	1.0	0.999	0.6	0.3	6.0	0.0	1.3217825889587402	0.028474549762904644	0.6893658442422748
64	2.5	1.0	0.999	0.6	0.3	8.0	0.0	1.321902111172676	0.02843179926276207	0.6893828548491001
62	2.5	1.0	0.999	0.6	0.3	6.0	0.01	1.3317775279283524	0.02844185521826148	0.6943306191824377
63	2.5	1.0	0.999	0.6	0.3	6.0	0.02	1.3317992836236954	0.028436101973056793	0.6943357437849045
65	2.5	1.0	0.999	0.6	0.3	8.0	0.01	1.3318965137004852	0.028399193659424782	0.6943474505096674
66	2.5	1.0	0.999	0.6	0.3	8.0	0.02	1.3319233655929565	0.028393444139510393	0.6943551269359887
7	2.5	1.0	0.998	0.0	0.5	6.0	0.0	1.3429187089204788	0.027362904511392117	0.6988222589716315
10	2.5	1.0	0.998	0.0	0.5	8.0	0.0	1.3430860787630081	0.027279898058623075	0.6988229374401271
8	2.5	1.0	0.998	0.0	0.5	6.0	0.01	1.352108210325241	0.027362904511392117	0.7034170096740127
9	2.5	1.0	0.998	0.0	0.5	6.0	0.02	1.352108210325241	0.027362904511392117	0.7034170096740127
11	2.5	1.0	0.998	0.0	0.5	8.0	0.01	1.3522757440805435	0.027279898058623075	0.7034177700988948
12	2.5	1.0	0.998	0.0	0.5	8.0	0.02	1.3522757440805435	0.027279898058623075	0.7034177700988948
1	2.5	1.0	0.998	0.0	0.3	6.0	0.0	1.3658677339553833	0.024660028982907534	0.7075938959605992
4	2.5	1.0	0.998	0.0	0.3	8.0	0.0	1.3661030232906342	0.024586946237832308	0.7076384578831494
2	2.5	1.0	0.998	0.0	0.3	6.0	0.01	1.3757756352424622	0.02463289350271225	0.7125207111239433
3	2.5	1.0	0.998	0.0	0.3	6.0	0.02	1.3758019506931305	0.02463289350271225	0.7125338688492775
5	2.5	1.0	0.998	0.0	0.3	8.0	0.01	1.3760168552398682	0.02455994626507163	0.7125683738850057
6	2.5	1.0	0.998	0.0	0.3	8.0	0.02	1.3760572671890259	0.02455994626507163	0.7125885798595846
55	2.5	1.0	0.999	0.3	0.5	6.0	0.0	1.4175929129123688	0.022296698298305273	0.7310931547544897
58	2.5	1.0	0.999	0.3	0.5	8.0	0.0	1.4176684617996216	0.0222628319170326	0.7310970628168434
56	2.5	1.0	0.999	0.3	0.5	6.0	0.01	1.4267825186252594	0.022296698298305273	0.735687957610935
57	2.5	1.0	0.999	0.3	0.5	6.0	0.02	1.4267825186252594	0.022296698298305273	0.735687957610935
