iter	ari	mse	ok	hidden	bottleneck	p_zero	p_nz	noise_max	bio_reg_weight	lr	epochs
112	0.7898683848867354	1.0276966392993927	False	[64]	32	0.0	0.4	0.2	2.0	0.001	300
113	0.8459092407890972	0.6442969888448715	True	[128]	32	0.0	0.3	0.1	0.5	0.0001	300
114	0.8211367672507048	0.9541956782341003	False	[128]	64	0.01	0.2	0.2	0.5	0.001	200
115	0.774525027383817	0.9507382661104202	False	[128]	64	0.01	0.3	0.2	2.0	0.0001	300
116	0.7879480236518515	1.0566779226064682	False	[128, 64]	64	0.01	0.2	0.1	2.0	0.0005	200
117	0.7669395316712461	1.0481328964233398	False	[128]	64	0.01	0.4	0.1	1.0	0.0005	300
118	0.8106144402524256	0.8637839183211327	False	[64]	32	0.01	0.3	0.3	1.0	0.001	200
119	0.7646858846224232	0.5939439386129379	True	[64]	32	0.05	0.2	0.3	0.5	0.0001	200
120	0.8038016855469008	1.010320782661438	False	[128]	32	0.05	0.3	0.2	1.0	0.001	200
121	0.8209524808969686	0.8704923614859581	False	[64]	32	0.05	0.2	0.3	1.0	0.0005	200
122	0.8003967814593025	0.7353695183992386	True	[128, 64]	32	0.0	0.3	0.2	1.0	0.0001	200
123	0.7787862915949172	1.0262449085712433	False	[64]	64	0.01	0.3	0.2	2.0	0.0005	300
124	0.7534959676290163	1.1370493322610855	False	[128]	64	0.01	0.2	0.1	2.0	0.0005	300
125	0.8109836371380036	0.9388487190008163	False	[64]	32	0.01	0.3	0.2	1.0	0.001	300
126	0.7373745490916902	1.2358148247003555	False	[128, 64]	64	0.01	0.4	0.1	2.0	0.001	300
127	0.8296030632540891	0.9124440252780914	False	[128, 64]	64	0.0	0.4	0.1	0.5	0.0005	300
128	0.8281348427574426	1.0731381624937057	False	[128]	32	0.0	0.2	0.1	0.5	0.001	300
129	0.8031720384892622	0.8868350684642792	False	[128, 64]	32	0.0	0.2	0.2	1.0	0.0005	200
130	0.8325374436012332	0.8691307902336121	False	[128, 64]	32	0.0	0.4	0.3	0.5	0.0005	300
131	0.8333203905980284	0.6502287313342094	True	[128, 64]	64	0.01	0.3	0.3	0.5	0.0001	300
132	0.7295072218933785	0.9396495819091797	False	[128, 64]	32	0.01	0.3	0.2	2.0	0.0001	300
133	0.7631497194577376	0.9570439159870148	False	[128]	64	0.01	0.2	0.3	2.0	0.0001	300
134	0.7942960047624574	0.8816389217972755	False	[128, 64]	32	0.05	0.3	0.2	0.5	0.001	200
135	0.826185041421966	0.866900123655796	False	[128, 64]	64	0.01	0.2	0.3	0.5	0.0005	300
136	0.7344070135029482	1.2376084178686142	False	[128, 64]	64	0.05	0.3	0.1	2.0	0.001	300
137	0.8063969086629019	0.7337642386555672	True	[128]	32	0.01	0.3	0.3	1.0	0.0001	200
138	0.7945894104233868	0.9694338589906693	False	[128, 64]	64	0.0	0.3	0.2	1.0	0.001	200
139	0.8579851407913427	0.6769944876432419	True	[64]	32	0.0	0.4	0.3	0.5	0.0005	200
140	0.8171880341412893	0.8639809638261795	False	[64]	32	0.0	0.3	0.3	1.0	0.001	200
141	0.7991960818535224	1.0732841789722443	False	[64]	32	0.0	0.2	0.3	2.0	0.001	300
142	0.7773302072600983	1.013920709490776	False	[128]	64	0.01	0.4	0.3	2.0	0.0005	200
143	0.8011200268902092	1.1617289632558823	False	[128, 64]	32	0.05	0.3	0.3	1.0	0.001	300
144	0.7830017922340613	0.9902396202087402	False	[64]	32	0.01	0.4	0.3	2.0	0.0005	300
145	0.7758523272474391	1.0422036051750183	False	[128]	64	0.0	0.3	0.1	2.0	0.0005	200
146	0.8416329450383195	0.6139124184846878	True	[128]	32	0.05	0.3	0.2	0.5	0.0001	200
147	0.8375396439267997	0.603279173374176	True	[128, 64]	64	0.01	0.3	0.2	0.5	0.0001	200
148	0.7733443144580889	1.0482393354177475	False	[64]	32	0.0	0.2	0.2	2.0	0.001	200
149	0.848743635697133	0.7682088166475296	False	[128]	32	0.0	0.3	0.2	0.5	0.0005	200
150	0.7920242270959597	1.0845514982938766	False	[64]	64	0.01	0.3	0.3	2.0	0.001	300
151	0.7805707579037126	1.0603034794330597	False	[128, 64]	32	0.05	0.4	0.2	2.0	0.0005	300
152	0.7088242070102937	0.8633304238319397	False	[64]	64	0.01	0.4	0.2	2.0	0.0001	200
153	0.7936630378960595	1.3165186494588852	False	[128]	64	0.05	0.3	0.2	1.0	0.001	300
154	0.8259090324188888	1.290606051683426	False	[128]	64	0.0	0.4	0.1	0.5	0.001	300
155	0.8375396439267997	0.6035523861646652	True	[128, 64]	64	0.01	0.3	0.1	0.5	0.0001	200
156	0.7665714730876327	1.145911619067192	False	[128]	64	0.05	0.3	0.3	2.0	0.001	200
157	0.7704344009410584	1.0057118237018585	False	[64]	64	0.0	0.3	0.1	2.0	0.0005	200
158	0.7743748012829981	1.002583086490631	False	[64]	64	0.01	0.4	0.1	2.0	0.0005	300
159	0.8705602834181885	0.6871017962694168	True	[64]	32	0.0	0.3	0.3	0.5	0.0005	200
