config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	post_bio_temp	post_bio_bias	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	expr_bio_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative
21	1.2778488528565504	0.00623471854487434	2.543228268623352	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.2	2.0	99.5	0.1	0.5	4.0	0.1	0.5	4.0	obs	True	True	False	0.0	2.0	1.5	0.0	1.0	0.0	0.0	0.0	0.3	0.6	True	0.3	1.0	0.0	2.0	0.3	2.0	0.05	0.7	0.6	0.0	1.0	0.0	2.0	2	10	0.5	2.0	0.3	0.6	0.5	0.2	0.5	False	counts	0.5	0.0	0.2	0.2	10	False	False
22	2.1990386951947585	0.022220622398890555	4.353636145591736	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.1	0.0	2.0	0.2	0.5	4.0	obs	True	True	False	0.3	2.0	1.0	0.5	1.2	0.0	0.0	1.0	0.3	0.6	True	0.0	1.0	0.2	2.0	0.0	4.0	0.1	0.9	0.6	0.3	1.0	0.0	2.0	2	10	0.5	4.0	0.3	0.3	0.5	-1.0	1.0	False	log	0.5	0.0	0.4	0.2	5	False	False
23	3.0097419917583466	0.0	6.019483983516693	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.5	2.0	0.2	0.5	2.0	obs	True	True	False	0.0	1.0	1.0	0.5	1.2	0.5	0.3	0.0	0.3	0.4	False	0.3	2.0	0.2	4.0	0.3	4.0	0.05	0.9	0.6	0.3	1.0	0.3	1.0	2	10	0.5	2.0	0.6	0.6	0.5	-1.0	1.0	True	log	0.5	0.0	0.4	0.2	10	True	False
24	0.702898046001792	0.06296355091035366	1.2798689901828766	0.85	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.1	0.0	2.0	0.2	0.5	2.0	obs	True	False	False	0.3	2.0	1.0	0.0	1.0	0.5	0.6	0.5	0.6	0.4	False	0.0	1.0	0.0	2.0	0.0	2.0	0.05	0.9	0.6	0.0	1.0	0.0	1.0	2	10	0.0	4.0	0.3	0.3	0.0	-1.0	0.5	True	counts	0.5	0.3	0.4	0.2	10	True	False
25	3.015185594558716	0.0	6.030371189117432	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.2	2.0	99.5	0.1	0.0	4.0	0.2	0.5	4.0	obs	True	True	False	0.3	1.0	1.0	0.5	1.2	0.5	0.3	0.5	0.6	0.6	True	0.0	2.0	0.0	4.0	0.0	2.0	0.1	0.9	0.6	0.3	1.0	0.3	1.0	2	10	0.0	2.0	0.0	0.3	0.5	0.2	1.0	False	counts	0.5	0.3	0.4	-1.0	5	True	False
26	2.9630926847457886	0.0	5.926185369491577	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	1.0	0.1	2.0	99.5	0.1	0.5	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	1.0	1.0	0.0	1.0	0.5	0.0	0.5	0.3	0.6	True	0.3	2.0	0.2	4.0	0.0	4.0	0.1	0.9	0.3	0.3	1.0	0.0	1.0	2	10	0.5	2.0	0.0	0.6	0.0	0.2	0.5	False	counts	0.5	0.3	0.2	0.2	10	False	False
27	1.808485659188591	0.007866951054893434	3.601237416267395	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.1	2.0	99.5	0.0	0.0	4.0	0.2	0.5	2.0	obs	True	False	False	0.3	2.0	1.0	0.5	1.2	0.0	0.3	0.0	0.3	0.6	True	0.3	1.0	0.2	2.0	0.3	2.0	0.05	0.9	0.3	0.3	1.0	0.3	2.0	2	10	0.5	2.0	0.6	0.3	0.5	-1.0	0.5	True	log	0.5	0.3	0.4	0.2	10	True	False
28	2.966218650341034	0.0	5.932437300682068	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	2.0	0.1	0.5	2.0	obs	True	True	False	0.0	2.0	1.0	0.0	1.0	0.5	0.3	1.0	0.3	0.4	False	0.3	2.0	0.2	4.0	0.3	4.0	0.1	0.7	0.3	0.3	1.0	0.0	1.0	2	10	0.5	2.0	0.6	0.6	0.0	0.2	1.0	True	log	0.5	0.3	0.4	0.2	5	False	False
29	3.0034287571907043	0.0	6.006857514381409	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	2.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	1.0	0.5	0.3	1.0	0.6	0.6	True	0.0	2.0	0.2	4.0	0.0	4.0	0.05	0.7	0.3	0.3	1.0	0.0	1.0	2	10	0.0	4.0	0.0	0.6	0.5	0.2	1.0	False	log	0.5	0.0	0.4	0.2	10	False	False
30	2.578605204820633	0.0	5.157210409641266	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	1.0	0.2	2.0	99.5	0.0	0.0	4.0	0.2	0.5	2.0	obs	True	True	False	0.0	2.0	1.0	0.5	1.0	0.5	0.0	1.0	0.6	0.4	False	0.3	1.0	0.0	2.0	0.0	2.0	-1.0	0.7	0.3	0.0	1.0	0.0	2.0	2	10	0.0	2.0	0.0	0.6	0.0	-1.0	0.5	False	log	0.5	0.0	0.4	0.2	5	True	False
