dataset	path	method	display_method	impute_seed	status	error	impute_runtime_sec	n_cells	n_genes	n_labels	n_batches	label_column	batch_column	feature_mode	n_seeds_requested	source_note
Zeisel	datasets_original/zeisel.rds	maskimpute	MaskImpute	42	ok		82.89493802492507	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	maskimpute	MaskImpute	43	ok		82.71453058090992	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	maskimpute	MaskImpute	44	ok		82.60048751579598	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	maskimpute	MaskImpute	45	ok		83.21998215909116	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	maskimpute	MaskImpute	46	ok		83.24331207992509	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
PBMC68k	temp/pbmc68k_data.rds	baseline	Observed	42	ok		6.182119250297546e-06	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	dca	DCA	42	ok		80.98507243511267	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	scvi	scVI	42	ok		116.10388477798551	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	scvi	scVI	43	ok		116.03203588793986	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	scvi	scVI	44	ok		116.21868511009961	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	scvi	scVI	45	ok		118.24168335902505	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	scvi	scVI	46	ok		116.24525958602317	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	alra	ALRA	42	ok		0.6933025170583278	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	alra	ALRA	43	ok		0.543141134781763	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	alra	ALRA	44	ok		0.5444604919757694	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	alra	ALRA	45	ok		0.6926826178096235	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	alra	ALRA	46	ok		0.6471503691282123	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	magic	MAGIC	42	ok		1.6775364470668137	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	maskimpute	MaskImpute	42	ok		342.5242023449391	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	maskimpute	MaskImpute	43	ok		342.6350587650668	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	maskimpute	MaskImpute	44	ok		350.7073820331134	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	maskimpute	MaskImpute	45	ok		433.4594552030321	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
PBMC68k	temp/pbmc68k_data.rds	maskimpute	MaskImpute	46	ok		343.6224825049285	12000	1000	11	8	celltype	barcode_suffix	label_free_hvg	5	10x PBMC68k matrix with published barcode annotations
