config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	calib_zero_weight	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	avg_rmse	avg_bz_rmse	score
20	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	1.0	1.0	0.99	0.7087274491786957	0.761282280087471	1.1156460046768188
18	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	1.0	0.5	0.99	0.7099960297346115	0.7623280435800552	1.117326058447361
19	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	1.0	1.0	0.95	0.7127914726734161	0.7641215473413467	1.1205172836780548
24	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	1.5	1.0	0.99	0.7131826430559158	0.7649212628602982	1.121512584388256
17	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	1.0	0.5	0.95	0.7139511853456497	0.7676542401313782	1.124629832804203
22	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	1.5	0.5	0.99	0.7140985429286957	0.7689799666404724	1.1260292381048203
23	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	1.5	1.0	0.95	0.7147144079208374	0.7751807570457458	1.1325379610061646
21	0.0	0.7	0.8	0.0	2.0	0.0	0.0	False	1.5	0.5	0.95	0.7149676084518433	0.7835009396076202	1.1409847438335419
43	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	1.0	1.0	0.95	0.8747306913137436	0.7334141582250595	1.1707795038819313
48	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	1.5	1.0	0.99	0.869327574968338	0.736466571688652	1.171130359172821
41	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	1.0	0.5	0.95	0.8627838045358658	0.7432542443275452	1.174646146595478
42	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	1.0	0.5	0.99	0.9015362709760666	0.7251260876655579	1.1758942231535912
46	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	1.5	0.5	0.99	0.8618024587631226	0.7452238202095032	1.1761250495910645
44	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	1.0	1.0	0.99	0.9124101251363754	0.7226837426424026	1.1788888052105904
37	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	0.5	0.5	0.95	0.9406327307224274	0.7217296808958054	1.192046046257019
47	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	1.5	1.0	0.95	0.8476224690675735	0.7689605504274368	1.1927717849612236
39	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	0.5	1.0	0.95	0.9584319442510605	0.721514418721199	1.2007303908467293
45	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	1.5	0.5	0.95	0.8442465364933014	0.7838337421417236	1.2059570103883743
38	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	0.5	0.5	0.99	0.9906672686338425	0.7212397009134293	1.2165733352303505
40	0.0	0.7	0.8	0.3	0.0	0.0	0.0	False	0.5	1.0	0.99	1.001739114522934	0.7212324440479279	1.2221020013093948
4	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
2	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
3	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	0.5	1.0	0.95	0.6803050637245178	1.030393734574318	1.3705462664365768
1	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	0.5	0.5	0.95	0.6816253513097763	1.0304386466741562	1.3712513223290443
8	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	1.0	1.0	0.99	0.6842650026082993	1.0307756662368774	1.372908167541027
6	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	1.0	0.5	0.99	0.6855746209621429	1.0315804779529572	1.3743677884340286
7	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	1.0	1.0	0.95	0.6884101778268814	1.0333851277828217	1.3775902166962624
12	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	1.5	1.0	0.99	0.688810408115387	1.034022718667984	1.3784279227256775
5	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	1.0	0.5	0.95	0.6896190345287323	1.0359402000904083	1.3807497173547745
10	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	1.5	0.5	0.99	0.6897801011800766	1.036833569407463	1.3817236199975014
11	0.0	0.7	0.8	0.0	0.0	0.0	0.0	False	1.5	1.0	0.95	0.6904413253068924	1.0413680672645569	1.386588729918003
