config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	ae_bio_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	cell_zero_weight	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	clip_negative
23	4.618163108825684	0.0	7.696938514709473	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.1	False	120	128	0.002	0.0001	2.0	1.0	0.2	0.5	99.5	0.0	0.0	1.0	0.3	1.5	False	True	False	0.6	4.0	1.2	0.5	0.6	0.1	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
24	4.560452556610107	0.0	7.600754261016846	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.2	False	120	128	0.002	0.0	2.0	2.0	0.2	0.5	99.5	0.25	2.0	2.0	0.2	1.5	False	True	False	0.6	4.0	1.0	0.0	0.6	0.05	0.5	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	2.0	True
25	4.401572513580322	0.0	7.335954189300537	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.1	False	120	128	0.002	0.0	2.0	1.0	0.2	0.5	99.0	0.0	2.0	1.0	0.1	1.5	True	True	False	0.6	4.0	1.2	0.0	0.9	0.05	0.5	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
26	4.401572513580322	0.0	7.335954189300537	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.2	False	120	128	0.002	0.0001	2.0	2.0	0.2	0.5	99.0	0.0	2.0	1.0	0.1	1.5	True	True	False	0.6	4.0	1.2	0.0	0.9	0.1	0.5	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
27	4.401572513580322	0.0	7.335954189300537	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	128,64	64	0.2	False	120	128	0.002	0.0	2.0	2.0	0.2	0.5	99.5	0.0	1.0	1.0	0.3	1.5	True	True	False	0.6	4.0	1.0	0.0	0.9	0.1	0.3	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
28	5.294690895080566	0.0	8.824484825134277	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.2	True	120	128	0.002	0.0001	1.0	1.0	0.2	1.0	99.5	0.25	2.0	2.0	0.3	1.5	False	False	False	0.6	4.0	1.0	0.5	0.9	0.05	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
29	4.53502779006958	0.0	7.558379650115967	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.1	False	120	128	0.002	0.0001	1.0	2.0	0.2	1.0	99.0	0.25	2.0	2.0	0.3	1.5	False	True	False	0.3	4.0	1.2	0.0	0.6	0.05	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
30	5.3336900711059565	0.0	8.889483451843262	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	128,64	64	0.1	True	120	128	0.002	0.0001	1.0	2.0	0.2	1.0	99.5	0.0	2.0	2.0	0.2	1.0	False	True	False	0.6	4.0	1.0	0.5	0.9	0.1	0.5	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
31	5.385016822814941	0.0	8.975028038024902	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.1	True	120	128	0.002	0.0001	1.0	2.0	0.2	1.0	99.0	0.0	1.0	2.0	0.3	1.0	False	True	False	0.3	4.0	1.0	0.0	0.6	0.05	0.5	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
32	4.401572513580322	0.0	7.335954189300537	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.2	True	120	128	0.002	0.0001	2.0	1.0	0.2	1.0	99.5	0.0	0.0	2.0	0.3	1.0	True	False	False	0.6	4.0	1.2	0.0	0.9	0.1	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	2.0	True
