config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	avg_rmse	avg_bz_rmse	score
20	1.0	0.7	1.2	0.0	0.95	1.0	0.5	0.729181170463562	0.09510993026196957	0.45970051549375057
1	1.0	0.7	0.8	0.0	0.95	1.0	0.0	0.7395761609077454	0.09060551039874554	0.4603935908526182
50	1.0	1.0	0.8	0.0	0.97	1.5	0.5	0.7468914687633514	0.09381421655416489	0.4672599509358406
42	1.0	1.0	0.8	0.0	0.95	1.5	1.0	0.7466365844011307	0.09495515562593937	0.4682734478265047
69	1.0	1.0	1.2	0.0	0.97	1.5	1.0	0.7342710942029953	0.10316378809511662	0.47029933519661427
55	1.0	1.0	1.2	0.0	0.95	1.0	0.0	0.7341531217098236	0.1047023143619299	0.4717788752168417
14	1.0	0.7	0.8	0.0	0.97	1.5	0.5	0.7354914098978043	0.1052028052508831	0.47294851019978523
6	1.0	0.7	0.8	0.0	0.95	1.5	1.0	0.7352382093667984	0.10632343217730522	0.4739425368607044
33	1.0	0.7	1.2	0.0	0.97	1.5	1.0	0.7229925245046616	0.11776370368897915	0.47925996594130993
19	1.0	0.7	1.2	0.0	0.95	1.0	0.0	0.7230178117752075	0.11928131245076656	0.4807902183383703
49	1.0	1.0	0.8	0.0	0.97	1.5	0.0	0.7425790131092072	0.11239435523748398	0.48368386179208755
68	1.0	1.0	1.2	0.0	0.97	1.5	0.5	0.7300294637680054	0.11986367404460907	0.48487840592861176
41	1.0	1.0	0.8	0.0	0.95	1.5	0.5	0.7423084527254105	0.11373026110231876	0.484884487465024
60	1.0	1.0	1.2	0.0	0.95	1.5	1.0	0.7297631502151489	0.12100749276578426	0.4858890678733587
54	1.0	1.0	0.8	0.0	0.97	2.0	1.0	0.7412837594747543	0.11640550196170807	0.48704738169908524
13	1.0	0.7	0.8	0.0	0.97	1.5	0.0	0.7310390174388885	0.12315388023853302	0.4886733889579773
5	1.0	0.7	0.8	0.0	0.95	1.5	0.5	0.7307761609554291	0.12439676374197006	0.4897848442196846
18	1.0	0.7	0.8	0.0	0.97	2.0	1.0	0.7296066880226135	0.1269832458347082	0.491786589846015
32	1.0	0.7	1.2	0.0	0.97	1.5	0.5	0.7186531126499176	0.13422910124063492	0.4935556575655937
24	1.0	0.7	1.2	0.0	0.95	1.5	1.0	0.7183913886547089	0.13536308519542217	0.4945587795227766
53	1.0	1.0	0.8	0.0	0.97	2.0	0.5	0.7379276752471924	0.12937382981181145	0.49833766743540764
45	1.0	1.0	0.8	0.0	0.95	2.0	1.0	0.7377718836069107	0.13002675399184227	0.4989126957952976
40	1.0	1.0	0.8	0.0	0.95	1.5	0.0	0.7379153072834015	0.13039103150367737	0.4993486851453781
67	1.0	1.0	1.2	0.0	0.97	1.5	0.0	0.7254956364631653	0.13800953328609467	0.5007573515176773
59	1.0	1.0	1.2	0.0	0.95	1.5	0.5	0.7252216339111328	0.13920454122126102	0.5018153581768274
17	1.0	0.7	0.8	0.0	0.97	2.0	0.5	0.7261592000722885	0.13953944109380245	0.5026190411299467
9	1.0	0.7	0.8	0.0	0.95	2.0	1.0	0.7260113805532455	0.14017840288579464	0.5031840931624174
4	1.0	0.7	0.8	0.0	0.95	1.5	0.0	0.7262672930955887	0.14052955619990826	0.5036632027477026
72	1.0	1.0	1.2	0.0	0.97	2.0	1.0	0.724099725484848	0.14177945256233215	0.5038293153047562
31	1.0	0.7	1.2	0.0	0.97	1.5	0.0	0.7140340358018875	0.15195382386446	0.5089708417654037
23	1.0	0.7	1.2	0.0	0.95	1.5	0.5	0.713770791888237	0.15308572351932526	0.5099711194634438
52	1.0	1.0	0.8	0.0	0.97	2.0	0.0	0.735031858086586	0.14261668175458908	0.5101326107978821
44	1.0	1.0	0.8	0.0	0.95	2.0	0.5	0.734901025891304	0.1431892979890108	0.5106398109346628
36	1.0	0.7	1.2	0.0	0.97	2.0	1.0	0.7125168293714523	0.15557505935430527	0.5118334740400314
16	1.0	0.7	0.8	0.0	0.97	2.0	0.0	0.7231920808553696	0.15247349627315998	0.5140695367008448
8	1.0	0.7	0.8	0.0	0.95	2.0	0.5	0.72307288646698	0.15303110890090466	0.5145675521343946
71	1.0	1.0	1.2	0.0	0.97	2.0	0.5	0.7206148356199265	0.15426325984299183	0.514570677652955
63	1.0	1.0	1.2	0.0	0.95	2.0	1.0	0.7204577773809433	0.15492953173816204	0.5151584204286337
58	1.0	1.0	1.2	0.0	0.95	1.5	0.0	0.7206606268882751	0.15530300326645374	0.5156333167105913
35	1.0	0.7	1.2	0.0	0.97	2.0	0.5	0.7089683413505554	0.1675688549876213	0.522053025662899
43	1.0	1.0	0.8	0.0	0.95	2.0	0.0	0.7322500646114349	0.1562081314623356	0.522333163768053
27	1.0	0.7	1.2	0.0	0.95	2.0	1.0	0.7088191956281662	0.1682395339012146	0.5226491317152977
22	1.0	0.7	1.2	0.0	0.95	1.5	0.0	0.7091293185949326	0.16861294955015182	0.5231776088476181
7	1.0	0.7	0.8	0.0	0.95	2.0	0.0	0.7203606218099594	0.16575990989804268	0.5259402208030224
70	1.0	1.0	1.2	0.0	0.97	2.0	0.0	0.7176353633403778	0.167449738830328	0.5262674205005169
62	1.0	1.0	1.2	0.0	0.95	2.0	0.5	0.7175047248601913	0.16799596697092056	0.5267483294010162
34	1.0	0.7	1.2	0.0	0.97	2.0	0.0	0.7059419602155685	0.18046579137444496	0.5334367714822292
26	1.0	0.7	1.2	0.0	0.95	2.0	0.5	0.7058218717575073	0.18099133670330048	0.5339022725820541
61	1.0	1.0	1.2	0.0	0.95	2.0	0.0	0.7147870063781738	0.18074853718280792	0.5381420403718948
25	1.0	0.7	1.2	0.0	0.95	2.0	0.0	0.7030566483736038	0.19341301918029785	0.5449413433670998
