config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	avg_rmse	avg_bz_rmse	score
115	0.0	0.7	0.8	0.0	0.6	0.0	True	1.0	1.0	0.95	0.6601961106061935	1.0288060009479523	1.358904056251049
139	0.0	0.7	0.8	0.0	0.6	0.3	True	1.0	1.0	0.95	0.6601961106061935	1.0288060009479523	1.358904056251049
67	0.0	0.7	0.8	0.0	0.3	0.0	True	1.0	1.0	0.95	0.6602044552564621	1.0288140177726746	1.3589162454009056
91	0.0	0.7	0.8	0.0	0.3	0.3	True	1.0	1.0	0.95	0.6602044552564621	1.0288140177726746	1.3589162454009056
19	0.0	0.7	0.8	0.0	0.0	0.0	True	1.0	1.0	0.95	0.6602085679769516	1.0288178622722626	1.3589221462607384
43	0.0	0.7	0.8	0.0	0.0	0.3	True	1.0	1.0	0.95	0.6602085679769516	1.0288178622722626	1.3589221462607384
114	0.0	0.7	0.8	0.0	0.6	0.0	True	1.0	0.5	0.99	0.663258820772171	1.0298499763011932	1.3614793866872787
138	0.0	0.7	0.8	0.0	0.6	0.3	True	1.0	0.5	0.99	0.663258820772171	1.0298499763011932	1.3614793866872787
66	0.0	0.7	0.8	0.0	0.3	0.0	True	1.0	0.5	0.99	0.6632608771324158	1.029850348830223	1.361480787396431
90	0.0	0.7	0.8	0.0	0.3	0.3	True	1.0	0.5	0.99	0.6632608771324158	1.029850348830223	1.361480787396431
18	0.0	0.7	0.8	0.0	0.0	0.0	True	1.0	0.5	0.99	0.663261815905571	1.0298505425453186	1.361481450498104
42	0.0	0.7	0.8	0.0	0.0	0.3	True	1.0	0.5	0.99	0.663261815905571	1.0298505425453186	1.361481450498104
131	0.0	0.7	0.8	0.0	0.6	0.3	False	1.5	1.0	0.95	0.6577335894107819	1.0330447256565094	1.3619115203619003
107	0.0	0.7	0.8	0.0	0.6	0.0	False	1.5	1.0	0.95	0.6577337235212326	1.0330448299646378	1.361911691725254
116	0.0	0.7	0.8	0.0	0.6	0.0	True	1.0	1.0	0.99	0.6644301116466522	1.0298596024513245	1.3620746582746506
140	0.0	0.7	0.8	0.0	0.6	0.3	True	1.0	1.0	0.99	0.6644301116466522	1.0298596024513245	1.3620746582746506
68	0.0	0.7	0.8	0.0	0.3	0.0	True	1.0	1.0	0.99	0.6644327491521835	1.0298599004745483	1.36207627505064
92	0.0	0.7	0.8	0.0	0.3	0.3	True	1.0	1.0	0.99	0.6644327491521835	1.0298599004745483	1.36207627505064
20	0.0	0.7	0.8	0.0	0.0	0.0	True	1.0	1.0	0.99	0.6644339710474014	1.029860034584999	1.3620770201086998
44	0.0	0.7	0.8	0.0	0.0	0.3	True	1.0	1.0	0.99	0.6644339710474014	1.029860034584999	1.3620770201086998
132	0.0	0.7	0.8	0.0	0.6	0.3	False	1.5	1.0	0.99	0.6628693491220474	1.0313605517148972	1.3627952262759209
108	0.0	0.7	0.8	0.0	0.6	0.0	False	1.5	1.0	0.99	0.6628693789243698	1.0313605964183807	1.3627952858805656
101	0.0	0.7	0.8	0.0	0.6	0.0	False	1.0	0.5	0.95	0.6616931408643723	1.0322199314832687	1.3630665019154549
125	0.0	0.7	0.8	0.0	0.6	0.3	False	1.0	0.5	0.95	0.6616931408643723	1.0322199314832687	1.3630665019154549
103	0.0	0.7	0.8	0.0	0.6	0.0	False	1.0	1.0	0.95	0.6640621870756149	1.0315412282943726	1.36357232183218
127	0.0	0.7	0.8	0.0	0.6	0.3	False	1.0	1.0	0.95	0.6640621870756149	1.0315412282943726	1.36357232183218
106	0.0	0.7	0.8	0.0	0.6	0.0	False	1.5	0.5	0.99	0.6615053564310074	1.0328233242034912	1.363576002418995
130	0.0	0.7	0.8	0.0	0.6	0.3	False	1.5	0.5	0.99	0.6615053564310074	1.0328233242034912	1.363576002418995
129	0.0	0.7	0.8	0.0	0.6	0.3	False	1.5	0.5	0.95	0.6571716964244843	1.0350575894117355	1.3636434376239777
105	0.0	0.7	0.8	0.0	0.6	0.0	False	1.5	0.5	0.95	0.6571718752384186	1.0350578725337982	1.3636438101530075
109	0.0	0.7	0.8	0.0	0.6	0.0	True	0.5	0.5	0.95	0.6675352305173874	1.0302768051624298	1.3640444204211235
133	0.0	0.7	0.8	0.0	0.6	0.3	True	0.5	0.5	0.95	0.6675352305173874	1.0302768051624298	1.3640444204211235
61	0.0	0.7	0.8	0.0	0.3	0.0	True	0.5	0.5	0.95	0.6675374507904053	1.0302768647670746	1.3640455901622772
85	0.0	0.7	0.8	0.0	0.3	0.3	True	0.5	0.5	0.95	0.6675374507904053	1.0302768647670746	1.3640455901622772
13	0.0	0.7	0.8	0.0	0.0	0.0	True	0.5	0.5	0.95	0.6675384938716888	1.0302769243717194	1.3640461713075638
37	0.0	0.7	0.8	0.0	0.0	0.3	True	0.5	0.5	0.95	0.6675384938716888	1.0302769243717194	1.3640461713075638
104	0.0	0.7	0.8	0.0	0.6	0.0	False	1.0	1.0	0.99	0.6679531782865524	1.0302706360816956	1.3642472252249718
128	0.0	0.7	0.8	0.0	0.6	0.3	False	1.0	1.0	0.99	0.6679531782865524	1.0302706360816956	1.3642472252249718
102	0.0	0.7	0.8	0.0	0.6	0.0	False	1.0	0.5	0.99	0.6673342287540436	1.0308687090873718	1.3645358234643936
126	0.0	0.7	0.8	0.0	0.6	0.3	False	1.0	0.5	0.99	0.6673342287540436	1.0308687090873718	1.3645358234643936
111	0.0	0.7	0.8	0.0	0.6	0.0	True	0.5	1.0	0.95	0.6693119704723358	1.0303280353546143	1.3649840205907822
135	0.0	0.7	0.8	0.0	0.6	0.3	True	0.5	1.0	0.95	0.6693119704723358	1.0303280353546143	1.3649840205907822
63	0.0	0.7	0.8	0.0	0.3	0.0	True	0.5	1.0	0.95	0.6693135201931	1.0303281545639038	1.3649849146604538
87	0.0	0.7	0.8	0.0	0.3	0.3	True	0.5	1.0	0.95	0.6693135201931	1.0303281545639038	1.3649849146604538
15	0.0	0.7	0.8	0.0	0.0	0.0	True	0.5	1.0	0.95	0.6693143099546432	1.0303281843662262	1.3649853393435478
39	0.0	0.7	0.8	0.0	0.0	0.3	True	0.5	1.0	0.95	0.6693143099546432	1.0303281843662262	1.3649853393435478
97	0.0	0.7	0.8	0.0	0.6	0.0	False	0.5	0.5	0.95	0.669479638338089	1.030383974313736	1.3651237934827805
121	0.0	0.7	0.8	0.0	0.6	0.3	False	0.5	0.5	0.95	0.669479638338089	1.030383974313736	1.3651237934827805
99	0.0	0.7	0.8	0.0	0.6	0.0	False	0.5	1.0	0.95	0.6704031527042389	1.0303882360458374	1.3655898123979568
123	0.0	0.7	0.8	0.0	0.6	0.3	False	0.5	1.0	0.95	0.6704031527042389	1.0303882360458374	1.3655898123979568
98	0.0	0.7	0.8	0.0	0.6	0.0	False	0.5	0.5	0.99	0.6713786572217941	1.0303313881158829	1.36602071672678
122	0.0	0.7	0.8	0.0	0.6	0.3	False	0.5	0.5	0.99	0.6713786572217941	1.0303313881158829	1.36602071672678
100	0.0	0.7	0.8	0.0	0.6	0.0	False	0.5	1.0	0.99	0.671830490231514	1.0303309708833694	1.3662462159991264
124	0.0	0.7	0.8	0.0	0.6	0.3	False	0.5	1.0	0.99	0.671830490231514	1.0303309708833694	1.3662462159991264
110	0.0	0.7	0.8	0.0	0.6	0.0	True	0.5	0.5	0.99	0.6720495223999023	1.0303234308958054	1.3663481920957565
134	0.0	0.7	0.8	0.0	0.6	0.3	True	0.5	0.5	0.99	0.6720495223999023	1.0303234308958054	1.3663481920957565
62	0.0	0.7	0.8	0.0	0.3	0.0	True	0.5	0.5	0.99	0.6720499396324158	1.0303234905004501	1.366348460316658
86	0.0	0.7	0.8	0.0	0.3	0.3	True	0.5	0.5	0.99	0.6720499396324158	1.0303234905004501	1.366348460316658
14	0.0	0.7	0.8	0.0	0.0	0.0	True	0.5	0.5	0.99	0.6720501482486725	1.0303234905004501	1.3663485646247864
38	0.0	0.7	0.8	0.0	0.0	0.3	True	0.5	0.5	0.99	0.6720501482486725	1.0303234905004501	1.3663485646247864
112	0.0	0.7	0.8	0.0	0.6	0.0	True	0.5	1.0	0.99	0.6728073060512543	1.030331090092659	1.3667347431182861
136	0.0	0.7	0.8	0.0	0.6	0.3	True	0.5	1.0	0.99	0.6728073060512543	1.030331090092659	1.3667347431182861
64	0.0	0.7	0.8	0.0	0.3	0.0	True	0.5	1.0	0.99	0.672807514667511	1.030331090092659	1.3667348474264145
88	0.0	0.7	0.8	0.0	0.3	0.3	True	0.5	1.0	0.99	0.672807514667511	1.030331090092659	1.3667348474264145
16	0.0	0.7	0.8	0.0	0.0	0.0	True	0.5	1.0	0.99	0.6728076040744781	1.030331090092659	1.366734892129898
40	0.0	0.7	0.8	0.0	0.0	0.3	True	0.5	1.0	0.99	0.6728076040744781	1.030331090092659	1.366734892129898
