dataset	transform	seed	runtime_sec	mse	mse_dropout	mse_biozero	mae	gnrmse	ari_grid_mean	nmi_grid_mean	ari_grid_max	nmi_grid_max	ari_matched_mean	nmi_matched_mean	n_clusters_matched_mean
groups_balanced_moderate_drop	all_obs0.1	42	144.50917031406425	0.21817199501372575	0.31793344878228724	0.010669321212005225	0.34704842657955287	1.1567724997857554	0.8022745503979068	0.8689975497893923	0.9940069159847472	0.9872290836052798	0.9928050474167968	0.9840820520290047	3.0
groups_balanced_moderate_drop	all_obs0.15	42	144.50917031406425	0.22873679971858965	0.35425181328399663	0.009516772095519054	0.3554837604766399	1.1888329952152863	0.8253051646322576	0.882863686105135	0.9946048548718394	0.987815836810351	0.9922076567537866	0.9830417330665628	3.0
groups_balanced_moderate_drop	all_obs0.2	42	144.50917031406425	0.24636834663896814	0.4045866293584612	0.00843008167231179	0.36766652372740466	1.2383581729308424	0.8187040598165167	0.8812938698269136	0.9939909038426192	0.9866387578675545	0.9934021797289163	0.9853487377822522	3.0
groups_balanced_moderate_drop	all_obs0.25	42	144.50917031406425	0.27106664512963147	0.46893787036782253	0.007409251226248203	0.38270754629777914	1.301881443703119	0.8549179426512281	0.902933823996242	0.9939955765738104	0.9867353644017517	0.9934021797289163	0.9853487377822522	3.0
groups_balanced_moderate_drop	all_obs1.0	42	144.50917031406425	1.4895509216577423	3.1161757706512345	0.0	0.7510506367927424	2.83435820196907	0.6286909505589214	0.6131887554519957	0.8943866630629306	0.8374678236037999	0.892679412833038	0.8350868942084801	3.0
groups_balanced_moderate_drop_group	raw	42	148.6740129799582	0.20920650182244974	0.27753064120125287	0.01222265888749587	0.3367401339379774	1.1542210181071932	0.7807414593915071	0.8475047917307801	0.9857760323227778	0.9724325465116825	0.9851902870398734	0.9715946219193383	3.0
groups_balanced_moderate_drop_group	all_obs0.05	42	148.6740129799582	0.2044349176036327	0.2829855233604638	0.011030949363504355	0.333240565977705	1.1405263082372759	0.797876087223739	0.8568949632391073	0.9845807311649757	0.9701250192364057	0.9833967498788474	0.9674115550755269	3.0
groups_balanced_moderate_drop_group	all_obs0.1	42	148.6740129799582	0.20676749653958953	0.30292051262782893	0.009900353182637593	0.33588167966438454	1.1494041607908676	0.8007839916585857	0.8579431791517312	0.9839559664512785	0.9678380393794884	0.9822267218675849	0.9652983502160118	3.0
groups_balanced_moderate_drop_group	all_obs0.15	42	148.6740129799582	0.21620423887204407	0.33733555977402174	0.00883087154450599	0.34345656488501536	1.179548688722102	0.7951961816786266	0.8548607143374478	0.9834170799873079	0.9677613364543808	0.9821994679046293	0.9649469129299542	3.0
groups_balanced_moderate_drop_group	all_obs0.2	42	148.6740129799582	0.23274513460474502	0.38623074411055086	0.00782250195972995	0.35489231290132	1.2278533802002105	0.7874540087999418	0.8482931081843836	0.9839918278601233	0.9685338656182512	0.9798740128780232	0.961723506471481	3.0
groups_balanced_moderate_drop_group	all_obs0.25	42	148.6740129799582	0.25639019315456546	0.4496060407637071	0.006875245625246029	0.36928949127914185	1.2907008131078104	0.8147528905426312	0.8664596115254593	0.9851727861915588	0.971684198502608	0.978708687576881	0.9627686978448112	3.0
groups_balanced_moderate_drop_group	all_obs1.0	42	148.6740129799582	1.46356521802648	3.1378473018666155	0.0	0.7276054167924746	2.829523927205105	0.7965095502377805	0.8150570402180501	0.9564853798933091	0.9258556718219539	0.9536211931311374	0.9216667987755283	3.0
groups_balanced_nodrop	raw	42	142.8434454279486	0.1479018519104595	nan	0.02890373420326039	0.2868025503281174	0.988575710234742	0.8611232138028764	0.9210158264331982	1.0	1.0	1.0	1.0	3.0
groups_balanced_nodrop	all_obs0.05	42	142.8434454279486	0.13348142146077738	nan	0.026085619453422172	0.27246242342161536	0.9391469246662217	0.8689428387341498	0.9246623438079463	1.0	1.0	1.0	1.0	3.0
groups_balanced_nodrop	all_obs0.1	42	142.8434454279486	0.11980050004423186	nan	0.02341202348999547	0.25812229635614264	0.8897181387310145	0.8613062222588834	0.9212295128175766	1.0	1.0	1.0	1.0	3.0
groups_balanced_nodrop	all_obs0.15	42	142.8434454279486	0.1068590861523445	nan	0.020882949128297634	0.24378216434121128	0.8402893469347169	0.8695262749290658	0.924863068496409	1.0	1.0	1.0	1.0	3.0
groups_balanced_nodrop	all_obs0.2	42	142.8434454279486	0.09465718357333605	nan	0.018498390521137616	0.22944203737258734	0.7908605621979886	0.8727532562504519	0.9258112215695561	1.0	1.0	1.0	1.0	3.0
groups_balanced_nodrop	all_obs0.25	42	142.8434454279486	0.08319479166410622	nan	0.01625835048905999	0.2151019126685137	0.7414317824731601	0.8956306046464881	0.9377776437795341	1.0	1.0	1.0	1.0	3.0
groups_balanced_nodrop	all_obs1.0	42	142.8434454279486	0.0	nan	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
groups_imbalanced_moderate_drop	raw	42	147.32753219711594	0.2181206660260975	0.2909135273225208	0.010824643444387196	0.3455219704610892	1.1688379970102103	0.602570071377827	0.7487581972092312	0.9899019012148513	0.9702189956051435	0.9866789809310496	0.9632012262153022	3.0
