iter	score	ok	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay	activation	dropout	layer_norm	residual
49	3.49428	False	0.67296	0.73814	0.83826	0.57196	[64]	128	128	5e-05	500	0.0	0.4	0.05	2.0	1.0	0.0001	gelu	0.2	False	False
50	3.9773599999999996	False	0.8643999999999998	0.8924	0.9401600000000002	0.41600000000000004	[256, 128, 64]	64	16	0.0005	500	0.1	0.4	0.3	1.0	2.0	1e-05	relu	0.05	True	False
51	4.16066	False	0.85212	0.89178	0.9319	0.63274	[256, 256]	8	8	0.001	400	0.02	0.4	0.1	0.5	1.0	0.0	relu	0.2	False	False
52	4.09752	False	0.8532400000000001	0.88338	0.92934	0.57832	[128, 128]	64	32	5e-05	300	0.05	0.5	0.05	4.0	2.0	0.001	gelu	0.0	True	True
53	3.76498	False	0.7327	0.7934	0.86006	0.64612	[128, 128]	64	8	5e-05	300	0.02	0.1	0.3	2.0	0.25	0.0	gelu	0.1	False	False
54	4.283900000000001	False	0.9310600000000001	0.91324	0.9546800000000001	0.55386	[128]	128	32	0.0001	300	0.0	0.2	0.2	6.0	1.0	0.001	relu	0.0	True	True
55	3.5809200000000003	False	0.6995399999999999	0.7727799999999999	0.84314	0.56592	[32]	128	64	0.0001	500	0.1	0.1	0.05	4.0	2.0	0.0	relu	0.0	False	True
56	4.291379999999999	False	0.91204	0.8978999999999999	0.9448000000000001	0.6246	[32]	64	128	0.001	200	0.01	0.2	0.2	0.5	2.0	0.001	leaky_relu	0.0	True	True
57	3.210000000000001	False	0.61884	0.7092799999999999	0.8052400000000001	0.45780000000000004	[128]	64	128	5e-05	200	0.0	0.1	0.05	6.0	1.0	0.001	leaky_relu	0.2	True	False
58	4.219239999999999	False	0.8713	0.8983599999999999	0.94352	0.63476	[128, 128]	16	8	0.0005	500	0.1	0.5	0.05	4.0	2.0	0.0001	leaky_relu	0.2	True	False
59	4.21544	False	0.86876	0.89632	0.9409399999999998	0.64066	[128, 64]	16	8	5e-05	400	0.02	0.3	0.3	2.0	1.0	0.0	leaky_relu	0.05	True	True
60	4.0780400000000006	False	0.84626	0.8815999999999999	0.92954	0.5743799999999999	[256, 128, 64]	8	8	5e-05	300	0.0	0.4	0.2	6.0	1.0	0.0001	relu	0.0	True	True
61	4.13966	False	0.84392	0.8792200000000001	0.9299	0.6426999999999999	[32]	8	16	0.001	300	0.05	0.3	0.05	1.0	0.25	0.001	silu	0.05	False	True
62	4.313899999999999	False	0.8933200000000001	0.8916599999999999	0.91944	0.71616	[128, 64]	32	64	0.0001	400	0.1	0.3	0.2	0.5	0.25	0.001	relu	0.05	True	True
63	4.22468	False	0.8609000000000002	0.8913400000000001	0.9405800000000001	0.67096	[128, 64]	64	16	0.0005	300	0.1	0.1	0.05	2.0	1.0	0.0001	gelu	0.2	True	False
