seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	path	method	display_method	impute_seed	cluster_seed	label_column	batch_column	n_cells	n_genes	n_labels	n_batches	feature_mode
43	100	15	0.5	19	0.5775933930475827	0.8037979461562746	0.18279744864648448	0.2831199619097199	0.02058611810207367	0.42790868203155696	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	15	1.0	26	0.48523417657486734	0.7605799930859589	0.19955049945901537	0.3276919319693901	0.02058611810207367	0.42922917986288667	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	15	1.5	28	0.41152510047161683	0.7355959016799795	0.18615814584789478	0.3390105048410474	0.02058611810207367	0.429616398178041	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	15	2.0	29	0.3930827808960873	0.7269465671276535	0.17785879332141757	0.3312580989502563	0.02058611810207367	0.4254137051757425	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	30	0.2	10	0.9262812779340726	0.8975334151437692	0.04126215831351287	0.05775324701347347	0.02058611810207367	0.6569663442205638	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	30	0.5	15	0.5973159680233698	0.8084813677063728	0.17220361509021473	0.26018851949825705	0.02058611810207367	0.643064830917865	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	30	1.0	21	0.5192961481602264	0.7831993925640492	0.1958904663242794	0.30839660795314694	0.02058611810207367	0.6566698250826448	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	30	1.5	27	0.45273393399869594	0.7519993659713872	0.21114377114130053	0.34997252652844474	0.02058611810207367	0.6445846320129931	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
43	100	30	2.0	28	0.40912280294504155	0.7344596501830494	0.18562171548407563	0.341472947291158	0.02058611810207367	0.6548009749967605	Baron	datasets_original/baron-human.rds	baseline	Observed	42	43	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	10	0.2	14	0.6501593292333745	0.8178862899203665	0.15112882570130598	0.22147119951429503	0.024557577446103096	0.30434309295378625	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	10	0.5	19	0.629049813758488	0.8141359754734407	0.15594921947411455	0.2354593704431827	0.024557577446103096	0.3010533759370446	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	10	1.0	32	0.32443021133559674	0.7042971566279528	0.09551442937907435	0.26601411002788833	0.024557577446103096	0.2975002131424844	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	10	1.5	35	0.30943489806044033	0.695550376008115	0.09920643310441948	0.2691025214860329	0.024557577446103096	0.29524985887110233	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	10	2.0	43	0.2516900736043834	0.6651433932376213	0.0844448811549005	0.26547717627221884	0.024557577446103096	0.2943943159189075	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	15	0.2	11	0.6442833506824147	0.8109295463029582	0.14532659055499078	0.20019515491240347	0.024557577446103096	0.3834832920692861	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
