rank	run_id	ok	score	avg_mse	avg_bz_mse	runtime_sec	elapsed_wall_sec	gpu	epochs	lr	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	bio_reg_weight	hidden	bottleneck	batch_size	weight_decay	activation	dropout	layer_norm	residual	WARMUP_REFINEMENT_FRACTION	POSTHOC_ZERO_SHRINK_SCALE	REFINED_PBIO_TRAIN_SCALE	simplicity_penalty	local_distance	error
46	r2_000	True	0.1444834733	0.2012956589	0.0438356438	288.150	312.033	0	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
34	r2_001	True	0.1441798289	0.2015387611	0.0434104484	285.935	312.031	1	420	0.0002	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
11	r2_002	True	0.1423612565	0.1946155647	0.0450534742	284.994	312.029	2	420	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	1.000000	
36	r2_004	True	0.1442723522	0.2008538487	0.0438454279	295.165	318.033	4	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	0.9	0.096000	2.000000	
21	r2_008	True	0.1437034737	0.1996444693	0.0438812391	247.453	267.021	0	360	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	0.0	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
20	r2_007	True	0.1434476496	0.1998155598	0.0435398697	253.483	273.030	5	360	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
7	r2_006	True	0.1421561296	0.1942035017	0.0450543787	289.560	312.039	3	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	2.000000	
38	r2_010	True	0.1443290242	0.2000786181	0.0442897152	287.966	309.029	2	420	0.00025	0.003	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
40	r2_011	True	0.1443438196	0.2020415950	0.0433230221	283.341	303.025	4	420	0.00025	0.005	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
25	r2_009	True	0.1437737745	0.2007087068	0.0434194211	291.423	312.039	1	420	0.0002	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
29	r2_015	True	0.1441260522	0.2004198868	0.0439161088	240.183	258.016	2	360	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
44	r2_013	True	0.1444243716	0.2011082000	0.0438702715	280.963	300.031	5	420	0.00025	0.004	0.55	0.02	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
35	r2_012	True	0.1442328349	0.2019848789	0.0432403954	288.545	312.038	0	420	0.00025	0.005	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.02	0.1	1.0	0.096000	2.000000	
15	r2_014	True	0.1424996707	0.1951880650	0.0449056382	285.468	306.031	3	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	2.000000	
49	r2_017	True	0.1445424711	0.2012566087	0.0439141668	290.543	309.028	1	420	0.0002	0.004	0.6	0.06	2.0	1.0	0.25	[64]	32	32	0.0	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
75	r2_016	True	0.1456324802	0.2032540773	0.0440054416	323.102	342.041	4	480	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
42	r2_019	True	0.1443701008	0.2020917351	0.0433242332	275.459	297.033	5	420	0.0002	0.004	0.6	0.06	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
27	r2_018	True	0.1440116487	0.2009849686	0.0435191644	287.238	309.044	2	420	0.0002	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	0.9	0.096000	2.000000	
3	r2_021	True	0.1416892845	0.1933539258	0.0450123216	284.221	303.037	3	360	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[96, 64]	32	32	1e-05	relu	0.05	False	False	0.02	0.1	1.0	0.193000	2.000000	
9	r2_020	True	0.1422438424	0.1952554159	0.0446161344	291.056	309.044	0	420	0.00025	0.004	0.6	0.04	2.5	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	2.000000	
