config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	avg_rmse	avg_bz_rmse	score
67	1.0	1.0	1.0	0.0	0.7319294661283493	0.1317488607019186	0.49771359376609325
79	1.0	1.3	1.2	0.0	0.7353098392486572	0.13196568563580513	0.49962060526013374
58	1.0	0.7	1.0	0.0	0.7201421707868576	0.14389866590499878	0.5039697512984276
70	1.0	1.0	1.2	0.0	0.7242724448442459	0.1438357625156641	0.5059719849377871
61	1.0	0.7	1.2	0.0	0.7129731625318527	0.15749136544764042	0.5139779467135668
47	0.5	1.3	0.8	0.3	0.7479717284440994	0.17872398532927036	0.5527098495513201
48	0.5	1.3	0.8	0.6	0.7472386807203293	0.17961100675165653	0.5532303471118212
38	0.5	1.0	0.8	0.3	0.7388015240430832	0.19723016396164894	0.5666309259831905
39	0.5	1.0	0.8	0.6	0.7380954772233963	0.19802685268223286	0.567074591293931
29	0.5	0.7	0.8	0.3	0.7279711812734604	0.21794953383505344	0.5819351244717836
30	0.5	0.7	0.8	0.6	0.7273291200399399	0.2186401318758726	0.5823046918958426
50	0.5	1.3	1.0	0.3	0.7367294430732727	0.2236595693975687	0.592024290934205
51	0.5	1.3	1.0	0.6	0.7359190732240677	0.22465750575065613	0.59261704236269
41	0.5	1.0	1.0	0.3	0.7263636440038681	0.24676349200308323	0.6099453140050173
42	0.5	1.0	1.0	0.6	0.7256069481372833	0.2476615346968174	0.6104650087654591
32	0.5	0.7	1.0	0.3	0.7145038843154907	0.27262935414910316	0.6298812963068485
33	0.5	0.7	1.0	0.6	0.7138536274433136	0.2734105698764324	0.6303373835980892
53	0.5	1.3	1.2	0.3	0.7268275916576385	0.2686086632311344	0.6320224590599537
54	0.5	1.3	1.2	0.6	0.725969210267067	0.2697051353752613	0.6326897405087948
74	1.0	1.3	0.8	0.3	0.7345234900712967	0.27391142770648	0.6411731727421284
75	1.0	1.3	0.8	0.6	0.7336350083351135	0.2751385048031807	0.6419560089707375
44	0.5	1.0	1.2	0.3	0.7157848924398422	0.2961830534040928	0.6540754996240139
45	0.5	1.0	1.2	0.6	0.715012863278389	0.2971695326268673	0.6546759642660618
65	1.0	1.0	0.8	0.3	0.7232200056314468	0.31386152282357216	0.6754715256392956
66	1.0	1.0	0.8	0.6	0.7224005460739136	0.3149576261639595	0.6761578992009163
35	0.5	0.7	1.2	0.3	0.7038182467222214	0.3253243416547775	0.6772334650158882
36	0.5	0.7	1.2	0.6	0.7032079547643661	0.32615208253264427	0.6777560599148273
77	1.0	1.3	1.0	0.3	0.7234705835580826	0.34274760261178017	0.7044828943908215
78	1.0	1.3	1.0	0.6	0.7225378304719925	0.3441074304282665	0.7053763456642628
56	1.0	0.7	0.8	0.3	0.7108505666255951	0.36037708073854446	0.715802364051342
57	1.0	0.7	0.8	0.6	0.7101635187864304	0.36131804063916206	0.7163998000323772
68	1.0	1.0	1.0	0.3	0.7122447341680527	0.39264386147260666	0.748766228556633
69	1.0	1.0	1.0	0.6	0.7114301472902298	0.39385948330163956	0.7495745569467545
80	1.0	1.3	1.2	0.3	0.7153760641813278	0.4116117022931576	0.7692997343838215
81	1.0	1.3	1.2	0.6	0.714447483420372	0.41308576986193657	0.7703095115721226
59	1.0	0.7	1.0	0.3	0.7012883275747299	0.4507392384111881	0.8013834021985531
60	1.0	0.7	1.0	0.6	0.7006738930940628	0.45178428664803505	0.8021212331950665
71	1.0	1.0	1.2	0.3	0.7055482119321823	0.4714515805244446	0.8242256864905357
72	1.0	1.0	1.2	0.6	0.7047925740480423	0.47276824340224266	0.8251645304262638
62	1.0	0.7	1.2	0.3	0.6980223655700684	0.5410070568323135	0.8900182396173477
63	1.0	0.7	1.2	0.6	0.6975347399711609	0.542131096124649	0.8908984661102295
