config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	p_bio_mix	avg_rmse	avg_bz_rmse	score
27	1.0	0.7	1.2	0.0	0.97	1.0	0.5	0.0	0.7365421801805496	0.07041947636753321	0.438690566457808
9	1.0	0.7	0.8	0.0	0.97	1.0	0.0	0.0	0.745901808142662	0.06681602634489536	0.4397669304162264
3	1.0	0.7	0.8	0.0	0.95	1.0	0.5	0.0	0.7452978640794754	0.06836431194096804	0.44101324398070574
14	1.0	0.7	0.8	0.0	0.97	2.0	0.0	0.5	0.7477595210075378	0.06832736544311047	0.4422071259468794
8	1.0	0.7	0.8	0.0	0.95	2.0	0.5	0.5	0.7476268261671066	0.06886103004217148	0.4426744431257248
38	1.0	1.0	0.8	0.0	0.95	2.0	0.0	0.5	0.7560378462076187	0.06594225857406855	0.4439611816778779
64	1.0	1.0	1.2	0.0	0.97	2.0	0.5	0.5	0.7456232309341431	0.07308778073638678	0.4458993962034583
57	1.0	1.0	1.2	0.0	0.97	1.0	0.0	0.0	0.7408270388841629	0.07940522022545338	0.44981873966753483
6	1.0	0.7	0.8	0.0	0.95	2.0	0.0	0.5	0.7450934797525406	0.07835652120411396	0.45090326108038425
51	1.0	1.0	1.2	0.0	0.95	1.0	0.5	0.0	0.7402517646551132	0.08107281848788261	0.4511987008154392
33	1.0	1.0	0.8	0.0	0.95	1.0	0.0	0.0	0.7506576329469681	0.07931741140782833	0.45464622788131237
62	1.0	1.0	1.2	0.0	0.97	2.0	0.0	0.5	0.7429036647081375	0.08340859413146973	0.4548604264855385
32	1.0	0.7	1.2	0.0	0.97	2.0	0.5	0.5	0.7347815483808517	0.08794168755412102	0.4553324617445469
56	1.0	1.0	1.2	0.0	0.95	2.0	0.5	0.5	0.7427424043416977	0.0840498749166727	0.45542107708752155
25	1.0	0.7	1.2	0.0	0.97	1.0	0.0	0.0	0.7298901379108429	0.09335286449640989	0.45829793345183134
19	1.0	0.7	1.2	0.0	0.95	1.0	0.5	0.0	0.729181170463562	0.09510993026196957	0.45970051549375057
1	1.0	0.7	0.8	0.0	0.95	1.0	0.0	0.0	0.7395761609077454	0.09060551039874554	0.4603935908526182
30	1.0	0.7	1.2	0.0	0.97	2.0	0.0	0.5	0.731864795088768	0.09903260692954063	0.46496500447392464
54	1.0	1.0	1.2	0.0	0.95	2.0	0.0	0.5	0.7398654073476791	0.09545786492526531	0.4653905685991049
24	1.0	0.7	1.2	0.0	0.95	2.0	0.5	0.5	0.7316988259553909	0.09973205626010895	0.4655814692378044
49	1.0	1.0	1.2	0.0	0.95	1.0	0.0	0.0	0.7341531217098236	0.1047023143619299	0.4717788752168417
22	1.0	0.7	1.2	0.0	0.95	2.0	0.0	0.5	0.7286214828491211	0.11158078908920288	0.4758915305137634
