config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	avg_rmse	avg_bz_rmse	score
42	1.0	0.7	1.2	0.0	0.9	1.0	0.5	0.7194412499666214	0.13154526613652706	0.49126589111983776
33	1.0	0.7	0.8	0.0	0.9	1.0	0.0	0.7299223393201828	0.1290976218879223	0.4940587915480137
55	1.0	1.0	0.8	0.0	0.95	1.5	0.0	0.7379153072834015	0.13039103150367737	0.4993486851453781
64	1.0	1.0	1.2	0.0	0.95	1.5	0.5	0.7252216339111328	0.13920454122126102	0.5018153581768274
39	1.0	0.7	0.8	0.0	0.95	1.5	0.0	0.7262672930955887	0.14052955619990826	0.5036632027477026
57	1.0	1.0	1.2	0.0	0.9	1.0	0.0	0.7242724448442459	0.1438357625156641	0.5059719849377871
52	1.0	1.0	0.8	0.0	0.9	1.5	0.5	0.7359768897294998	0.139289116486907	0.5072775613516569
48	1.0	0.7	1.2	0.0	0.95	1.5	0.5	0.713770791888237	0.15308572351932526	0.5099711194634438
36	1.0	0.7	0.8	0.0	0.9	1.5	0.5	0.7243047952651978	0.14921758510172367	0.5113699827343225
41	1.0	0.7	1.2	0.0	0.9	1.0	0.0	0.7129731625318527	0.15749136544764042	0.5139779467135668
63	1.0	1.0	1.2	0.0	0.95	1.5	0.0	0.7206606268882751	0.15530300326645374	0.5156333167105913
51	1.0	1.0	0.8	0.0	0.9	1.5	0.0	0.7324578016996384	0.15647440031170845	0.5227033011615276
47	1.0	0.7	1.2	0.0	0.95	1.5	0.0	0.7091293185949326	0.16861294955015182	0.5231776088476181
60	1.0	1.0	1.2	0.0	0.9	1.5	0.5	0.718676894903183	0.1641756184399128	0.5235140658915043
35	1.0	0.7	0.8	0.0	0.9	1.5	0.0	0.7207112014293671	0.1660209856927395	0.526376586407423
44	1.0	0.7	1.2	0.0	0.9	1.5	0.5	0.7071385979652405	0.17730792239308357	0.5308772213757038
59	1.0	1.0	1.2	0.0	0.9	1.5	0.0	0.715071052312851	0.18100885301828384	0.5385443791747093
43	1.0	0.7	1.2	0.0	0.9	1.5	0.0	0.7034731954336166	0.19366154819726944	0.5453981459140778
