config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	p_bio_nz_scale	avg_rmse	avg_bz_rmse	score
3	0.0	0.7	0.8	0.0	0.0	False	0.5	0.0	0.95	0.5	2.1591096239058705	0.04488918729179775	1.124443999244733
4	0.0	0.7	0.8	0.0	0.0	False	0.5	0.0	0.95	0.8	2.1591096239058705	0.04488918729179775	1.124443999244733
5	0.0	0.7	0.8	0.0	0.0	False	0.5	0.0	0.95	1.0	2.1591096239058705	0.04488918729179775	1.124443999244733
51	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.95	0.0	1.8595185345701575	0.19561166503784677	1.1253709323229255
52	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.95	0.2	1.8595185345701575	0.19561166503784677	1.1253709323229255
53	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.95	0.5	1.8595185345701575	0.19561166503784677	1.1253709323229255
54	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.95	0.8	1.8595185345701575	0.19561166503784677	1.1253709323229255
55	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.95	1.0	1.8595185345701575	0.19561166503784677	1.1253709323229255
96	0.0	0.7	0.8	0.0	0.0	False	1.5	0.5	0.99	0.0	1.8538147076508913	0.2024600024096929	1.1293673562351385
97	0.0	0.7	0.8	0.0	0.0	False	1.5	0.5	0.99	0.2	1.8538147076508913	0.2024600024096929	1.1293673562351385
98	0.0	0.7	0.8	0.0	0.0	False	1.5	0.5	0.99	0.5	1.8538147076508913	0.2024600024096929	1.1293673562351385
99	0.0	0.7	0.8	0.0	0.0	False	1.5	0.5	0.99	0.8	1.8538147076508913	0.2024600024096929	1.1293673562351385
100	0.0	0.7	0.8	0.0	0.0	False	1.5	0.5	0.99	1.0	1.8538147076508913	0.2024600024096929	1.1293673562351385
76	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.99	0.0	2.182684577267061	0.04365809995796393	1.1350003885914943
77	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.99	0.2	2.182684577267061	0.04365809995796393	1.1350003885914943
78	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.99	0.5	2.182684577267061	0.04365809995796393	1.1350003885914943
79	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.99	0.8	2.182684577267061	0.04365809995796393	1.1350003885914943
80	0.0	0.7	0.8	0.0	0.0	False	1.0	1.5	0.99	1.0	2.182684577267061	0.04365809995796393	1.1350003885914943
86	0.0	0.7	0.8	0.0	0.0	False	1.5	0.0	0.99	0.0	1.8154712574363312	0.2354885667224323	1.143224195440598
87	0.0	0.7	0.8	0.0	0.0	False	1.5	0.0	0.99	0.2	1.8154712574363312	0.2354885667224323	1.143224195440598
88	0.0	0.7	0.8	0.0	0.0	False	1.5	0.0	0.99	0.5	1.8154712574363312	0.2354885667224323	1.143224195440598
89	0.0	0.7	0.8	0.0	0.0	False	1.5	0.0	0.99	0.8	1.8154712574363312	0.2354885667224323	1.143224195440598
90	0.0	0.7	0.8	0.0	0.0	False	1.5	0.0	0.99	1.0	1.8154712574363312	0.2354885667224323	1.143224195440598
156	0.0	0.7	0.8	0.0	0.0	False	2.0	1.5	0.99	0.0	1.813877358916599	0.23746601837342624	1.1444046978317257
157	0.0	0.7	0.8	0.0	0.0	False	2.0	1.5	0.99	0.2	1.813877358916599	0.23746601837342624	1.1444046978317257
158	0.0	0.7	0.8	0.0	0.0	False	2.0	1.5	0.99	0.5	1.813877358916599	0.23746601837342624	1.1444046978317257
159	0.0	0.7	0.8	0.0	0.0	False	2.0	1.5	0.99	0.8	1.813877358916599	0.23746601837342624	1.1444046978317257
160	0.0	0.7	0.8	0.0	0.0	False	2.0	1.5	0.99	1.0	1.813877358916599	0.23746601837342624	1.1444046978317257
111	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.95	0.0	1.8052205318987216	0.2463161954363258	1.1489264613856867
112	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.95	0.2	1.8052205318987216	0.2463161954363258	1.1489264613856867
113	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.95	0.5	1.8052205318987216	0.2463161954363258	1.1489264613856867
114	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.95	0.8	1.8052205318987216	0.2463161954363258	1.1489264613856867
115	0.0	0.7	0.8	0.0	0.0	False	1.5	1.5	0.95	1.0	1.8052205318987216	0.2463161954363258	1.1489264613856867
41	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.95	0.0	1.803421199392867	0.2480208097705643	1.1497314094669977
42	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.95	0.2	1.803421199392867	0.2480208097705643	1.1497314094669977
43	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.95	0.5	1.803421199392867	0.2480208097705643	1.1497314094669977
44	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.95	0.8	1.803421199392867	0.2480208097705643	1.1497314094669977
45	0.0	0.7	0.8	0.0	0.0	False	1.0	0.0	0.95	1.0	1.803421199392867	0.2480208097705643	1.1497314094669977
146	0.0	0.7	0.8	0.0	0.0	False	2.0	1.0	0.99	0.0	1.7898758703277473	0.26113886386394536	1.1560767990278191
